Name,Likes,label,Comments,,,
Angel Nandini Chakraborty,0,bully,"Juto marte hoe toke
[PHOTO] https://external.frec7-1.fna.fbcdn.net/safe_image.php?d=AQEgNjjXQ2JhoHdJ&w=396&h=396&url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Fcffd1a8c9a6e967a62669880d7dc5fba%2Ftenor.gif%3Fitemid%3D9724800&ext=jpg&ccb=3-4&_nc_hash=AQH-_3LoX6knixSN",,,
Virendra Yadav,0,bully,Rangi,,,
Jack Koyu,0,not bully,MB girlfriend in ssr lap. What a life.....,,,
Shakti Barman,0,not bully,By Happy,,,
Subhâ Ôm,0,bully,Rendy mgi,,,
Md Sakib,0,bully,Tora chodmu,,,
Shiva Verma,0,bully,Sali,,,
G.K. Kashyap,0,bully,You mother...........................,,,
Rachna Mishra,0,bully,Dayan 🤯🤢🤮,,,
Sanjida Rahman Nupur,0,bully,"Dainir baccha daini, Sushant sir Er ghore boshe, tari tk, khabar, anondo, shob kheye tarei mere felsis..kno..?akhn abr movie Ber korteseis.. faltu Soytan janowar tui...#JusticeForSushantSinghRajput#BoycottRhea#BoycottMovieCehra#RheaShouldBeHanged ",,,
Sandip Parajuli,0,bully,drugs👿👿👿,,,
Saddam Afridi,1,bully,killer of Sushant,,,
Om Sharma,0,bully,Ab🤬,,,
Raj Mishra,0,bully,Tera apna Ghar nhi Sushant sir ke Ghar Kar guitar bja rhe h ek chiz baata guitar tera hai choro tere pass toh rent dene ke paisa nhi h Sushant sir h guitar we come in Sushant life her life was destory😡😡,,,
Sahduu Tos Sahduu Tos,0,not bully,Aap bahut acchi,,,
Tufani Singh,0,not bully,Hi,,,
An A,0,bully,tu randi hii bapachodi,,,
Sadik Gouri,0,not bully,Frienf,,,
Sadik Gouri,0,not bully,Namber,,,
Sonu Ks,0,bully,"Pakistani song suna kar tu,,,,,tumhari आदतों pe shoot bhi karta h😂",,,
لا يرحم كينغ,0,bully,Kutti,,,
Dhruva Jagannath,0,bully,tera rape hona chahiye,,,
সাথী বসু মজুমদার,0,bully,Shameless jungli 🙄,,,
Anuradha Kayi,0,bully,shameless..,,,
Satpal Kumar,1,bully,Mahesh butt say man bhara jaye n yaad karan mujhe samjhi Randi khuss kr Denge,,,
Virendra Kumar,0,not bully,Hiii,,,
Aryan Roy,0,not bully,remember me,,,
Rinku Arrival,0,not bully,7976678374,,,
Shiyeka Yepthomi,0,bully,Hey GOLD DIGGER I have a Lamborghini come over here baby,,,
Binoy Barua,0,bully,fiskari girl,,,
Sk Khan,0,bully,"Third taklu is waiting for u (Rhea 🤮)
[PHOTO] https://scontent.frec7-1.fna.fbcdn.net/v/t1.0-0/p600x600/139744854_234100398411633_3080171239973374509_o.jpg?_nc_cat=103&ccb=1-3&_nc_sid=dbeb18&_nc_ohc=xX1n9G360aMAX_Trr5i&_nc_ht=scontent.frec7-1.fna&tp=6&oh=a8e0d0d632182ce6fb39dafe0c7580a9&oe=60813464",,,
Sukhpreet Kaur,0,not bully,This is shushant house,,,
Riyann Axom,0,bully,female monkey,,,
Sreya Mondal,0,not bully,#JusticeforSSR,,,
Sreya Mondal,0,not bully,Who will watch ur movies,,,
Sreya Mondal,0,bully,Bangali namer kolonko che chee,,,
Jeet Pal,0,bully,Bhenchod kaun si Chudail main dekh li Puri Raat Sone paunga,,,
Riya Agnihotri,0,bully,Shame on u,,,
Romesa Khan,0,not bully,Isme rhea jo kuch kar rahi hai woh asal me sushant singh kar raha hota tha...phone pe kuch dekha  usne jispe woh dar gya,,,
Mangesh Pohare,0,not bully,Good...... Hai,,,
Mangesh Pohare,0,not bully,Riya chkrabroty,,,
Sohan Sohan,0,not bully,hi,,,
Biswajit Kundu,0,bully,Rendie,,,
Priya Bhowmick,0,bully,We don't wanna to see uGet lost,,,
Priya Bhowmick,0,bully,Get lost from film industry Getlost,,,
Subhradeep Halder,0,bully,"Le madarchod ka gang giving love react😂😂
[PHOTO] https://scontent.fcdg2-1.fna.fbcdn.net/v/t1.0-0/s600x600/152664580_705522490323874_3233667655585270917_o.jpg?_nc_cat=100&ccb=1-3&_nc_sid=dbeb18&_nc_ohc=OfWqpq2eZx0AX_WCCoc&_nc_ht=scontent.fcdg2-1.fna&tp=7&oh=087e86570dac2e03e9aea19172c61e84&oe=6081E0F4",,,
Sanadiip Vijaykumar Bacche-Patil,0,bully,"Roses are red,Violet are blue,i kill you,Sorry babu...",,,
Sharmila Kumar,0,bully,You are pagal and,,,
Sipin Raut,0,bully,Riya Chakrabarti chudel dayn rendi,,,
Abhimanyu Bhattacharya,0,bully,Rhea Chakraborty Is A Criminal.,,,
Abhimanyu Bhattacharya,0,bully,Rhea Chakraboty Should Be Hang To Death.,,,
Abhimanyu Bhattacharya,0,bully,"Frnds Plzzz Boycott Rhea Chakraboty, Mahesh Bhatt,  Alia Bhatt, Suraj Pancholi, Karan Jhohar, Sonam Kapoor.",,,
Yash Masram,0,bully,Jana maderchod salli 🖕🏼 kutte ki mouth marengi tu,,,
Sneha Bose,0,bully,𝑷𝒂𝒈𝒐𝒍 𝒄𝒉𝒐𝒅𝒂 𝒎𝒂𝒈𝒊,,,
গোপাল কৃষ্ণ শইকীয়া,0,bully,"You dayan , witch",,,
Daljeet Khara,0,bully,Hello druggist girl,,,
Pryanka Hitesh Sharma,0,bully,"Look at her , usketukkdon pr palty thy,,, usi ko kaat khaya bloody b****",,,
Ankit Gupta,0,bully,Ye joh guitar play karri ha alia bhat ki  mom hai ye dusri wali mahesh bhat ke dost ki part time wife 🤣😂,,,
RamBhai Guru G,0,not bully,Best astro advice #Love Problem Solution Astrologer # Love Vashikaran Specilist Astrologer #Love Marriage Specialist Astrologer #Love Marriage Problem Solution  # Business Problem Solution Astrologer #Family Problem Solution Astrologer  #Husband Wife Dispute Solution  100% ResultsFallLoveProblems. ChangeYourLoveLifeCallToday Quick Contact&GetImmediate Solution 7009182832,,,
Bijay Kumar Mahananda,0,bully,Tu Kabhi sukh se nahi reh paega,,,
Vicky Jaiswal,0,bully,Randi hai riya Chakrabarti,,,
Ædïtyâ Çhãtûrvèdï,0,bully,Kutee h tu,,,
Lalit Sharma,0,not bully,Tune achha nhi kiya,,,
Mahak Singh,0,bully,Hate you,,,
Dipti Patra,2,bully,Overacting ki dukan,,,
Sajid Nawaz Sanghi Snss,0,bully,Ssr miss fan rhen jail,,,
Vibha Anand,0,bully,Dont ruin other actors life by working with them.Yiur movies will be a flop doesnt matter who else are working in that movie.,,,
Dhakar King Sajeeb Shab,0,not bully,Main chali,,,
Sely Puchan,0,bully,Bohot e harami type ke larki hai,,,
Sely Puchan,0,bully,Usko fasi he hona cahiya,,,
Akash Goswami,0,bully,Jail ki hawa khayegi,,,
Salim Sarkar,0,not bully,Rose Fashion Wholesale,,,
Farhana Rahman,0,bully,I hate you Rea Justice for Sushant Singh Rajput,,,
Ashutosh Kathayat,0,bully,Hawt,,,
sshehzil,2,bully,madarchod,,,
flyiinglleo,3,bully,We need to clean India..let's remove the garbage modi,,,
bad.vibes.yo,0,bully,Bahut sahi lagn deya tere layi aa kam theek aa saleya,,,
jonathan90tran,0,not bully,Planet of the apes lol,,,
gurleennvirk,1,not bully,Post beach party scenes @jasnimrit_,,,
kiran_devaraj,0,not bully,Patti show kanikate erangi po kattavarathi,,,
rahamat2665,0,bully,Thora rukh ja aisa halat jarur hoga,,,
donking375,1,not bully,jai modiji 👌👌👌👌❤️❤️,,,
_rxmneet,1,bully,This guy thinks he’s a model. Should have put yourself in that bag and threw yourself away😂💀,,,
model_arfath_19,3,bully,🤣😀😆bulla ka ball,,,
faisal._hussain,3,bully,Ye pagalo ka baap hai,,,
shekh_alim04,0,not bully,Kaha jaathas ga😮,,,
guri_kahlon.1984,10,bully,Modi chor sala 🖕🖕,,,
_.aishaa_87,3,not bully,Respect sir🙌,,,
boss.yogendra,4,bully,Dikhawa,,,
swatisingh.singh.31105674,0,bully,Ise sir kude Dan me dalyiga.,,,
